palavra,frequencia
paulo,20
capital,17
saude,15
prefeitura,14
cidade,12
qualidade,11
populacao,11
centro,10
transito,9
atendimento,9
tiete,8
rios,8
hoje,8
gestao,7
paulistano,7
municipal,7
veiculos,7
deverao,7
transporte,6
onibus,6
taxis,6
controle,6
rede,6
escolar,6
plano,5
visando,5
setor,5
pinheiros,5
qualquer,5
devera,5
